Time,Personen (wifi),Out
2021-01-13 06:00:00,4.7,7
2021-01-13 06:15:00,3.3,5
2021-01-13 06:30:00,3.3,5.7
2021-01-13 06:45:00,5,5.7
2021-01-13 07:00:00,4,6
2021-01-13 07:15:00,6.3,5.7
2021-01-13 07:30:00,7,6
2021-01-13 07:45:00,9,8.3
2021-01-13 08:00:00,7.7,7
2021-01-13 08:15:00,8.3,9
2021-01-13 08:30:00,11,11
2021-01-13 08:45:00,12,11
2021-01-13 09:00:00,12,11
2021-01-13 09:15:00,8.3,10
2021-01-13 09:30:00,12,13
2021-01-13 09:45:00,10,10
2021-01-13 10:00:00,13,13
2021-01-13 10:15:00,14,13
2021-01-13 10:30:00,12,15
2021-01-13 10:45:00,10,11
2021-01-13 11:00:00,12,9.3
2021-01-13 11:15:00,10,9.7
2021-01-13 11:30:00,12,12
2021-01-13 11:45:00,14,11
2021-01-13 12:00:00,12,11
2021-01-13 12:15:00,12,12
2021-01-13 12:30:00,16,11
2021-01-13 12:45:00,14,9
2021-01-13 13:00:00,16,9.3
2021-01-13 13:15:00,16,9.7
2021-01-13 13:30:00,18,9.7
2021-01-13 13:45:00,16,9.7
2021-01-13 14:00:00,15,9
2021-01-13 14:15:00,16,8
2021-01-13 14:30:00,15,8.7
2021-01-13 14:45:00,15,7.7
2021-01-13 15:00:00,12,7.3
2021-01-13 15:15:00,11,9
2021-01-13 15:30:00,15,9
2021-01-13 15:45:00,17,8.7
2021-01-13 16:00:00,15,9.3
2021-01-13 16:15:00,13,12
2021-01-13 16:30:00,12,9
2021-01-13 16:45:00,11,11
2021-01-13 17:00:00,14,9.7
2021-01-13 17:15:00,11,12
2021-01-13 17:30:00,13,7.3
2021-01-13 17:45:00,14,9.3
2021-01-13 18:00:00,11,7.3
2021-01-13 18:15:00,11,8.3
2021-01-13 18:30:00,12,7.7
2021-01-13 18:45:00,9.7,8.3
2021-01-13 19:00:00,11,8.7
2021-01-13 19:15:00,13,9
2021-01-13 19:30:00,12,8
2021-01-13 19:45:00,7.7,8.3
2021-01-13 20:00:00,15,8
2021-01-13 20:15:00,12,9.7
2021-01-13 20:30:00,12,6
2021-01-13 20:45:00,12,7.7
2021-01-13 21:00:00,12,7.3
2021-01-13 21:15:00,10,8
2021-01-13 21:30:00,9.7,7.3
2021-01-13 21:45:00,9,6.7
2021-01-13 22:00:00,6,7.7
2021-01-13 22:15:00,5.3,7.3
2021-01-13 22:30:00,7.3,5.7
2021-01-13 22:45:00,9.7,9
2021-01-13 23:00:00,7,6
2021-01-13 23:15:00,7,7.7
2021-01-13 23:30:00,7.7,11
2021-01-13 23:45:00,7,8.7
2021-01-14 00:00:00,8,5.7
2021-01-14 00:15:00,5.7,4.7
2021-01-14 00:30:00,6.7,4.7
2021-01-14 00:45:00,6,4.7
2021-01-14 01:00:00,6.7,5.7
2021-01-14 01:15:00,5.3,6.7
2021-01-14 01:30:00,4.7,5.7
2021-01-14 01:45:00,6.7,4.7
2021-01-14 02:00:00,4.3,5.3
2021-01-14 02:15:00,3.7,6
2021-01-14 02:30:00,3.7,5
2021-01-14 02:45:00,4,5.7
2021-01-14 03:00:00,5.7,5
2021-01-14 03:15:00,3.3,5.3
2021-01-14 03:30:00,4.7,4.3
2021-01-14 03:45:00,4.7,3.7
